"code_family","family","scientific_name","local_name","code_species","corrected_genus","wood_density"
999,"Unknown","Litchi chinensis","Alupag - amo",193,"Litchi",0.608901846878946
1,"Alangiaceae","Alangium javanicum","Putian",15,"Alangium",0.608901846878946
2,"Anacardiaceae","Koordersiodendron pinnatum","Amugis",185,"Koordersiodendron",0.623
3,"Annonaceae","Buchanania arborescens","Balinghasai",56,"Buchanania",0.565580530764063
4,"Apocynaceae","Parishia maingayi","Bulalog",240,"Parishia",0.592856179202742
5,"Araliaceae","Dracontomelon dao","Dao",116,"Dracontomelon",0.422710836834734
6,"Araucariaceae","Spondias mombin","Hogs Plum",299,"Spondias",0.454994920634921
7,"Arecaceae","Semecarpus cuneiformis","Kamiring",274,"Semecarpus",0.551760416666667
8,"Avicenniaceae","Dracontomelon edule","Lamio",117,"Dracontomelon",0.608901846878946
9,"Bignoniaceae","Spondias pinnata","Libas",300,"Spondias",0.565745691358025
10,"Bombacaceae","Semecarpus perrottetii","Ligas",275,"Semecarpus",0.608901846878946
11,"Boraginaceae","Swintonia foxworthyi","Lumarao / Apitong
baboi",308,"Swintonia",0.649492982017982
12,"Burseraceae","Mangifera altissima","Pahutan",212,"Mangifera",0.518144351294328
13,"Cannaceae","Mangifera monandra","Pahutan / Malipajo",213,"Mangifera",0.608901846878946
14,"Casuarinaceae","Pistacia chinensis","Sangilo",249,"Pistacia",0.831586616161616
15,"Celastraceae","Platymitra arborea","Bolon",254,"Platymitra",0.679654620181406
16,"Chrysobalanaceae","Cananga odorata","Ilang - ilang",61,"Cananga",0.805709207431457
17,"Combretaceae","Mitrephora lanotan","Lanutan",222,"Mitrephora",0.710842720551759
18,"Compositae","Alstonia macrophylla","Batino",26,"Alstonia",0.607109375
19,"Cornaceae","Alstonia scholaris var scholaris","Dita",27,"Alstonia",0.547191666666667
20,"Datiscaceae","Wrightia pubescens subsp laniti","Lanete",346,"Wrightia",0.608901846878946
21,"Dilleniaceae","Alyxia concatenata","Malabatino",28,"Alyxia",0.633114583333333
22,"Dipterocarpaceae","Tabernaemontana pandacaqui","Pandakaking - gubat",317,"Tabernaemontana",0.659942819069942
23,"Ebenaceae","Polyscias nodosa","Malapapaya",256,"Polyscias",0.711970896464647
24,"Euphorbiaceae","Agathis philippinensis","Almaciga",3,"Agathis",0.544977248125887
25,"Fabaceae","Saribus rotundifolius","Anahaw",376,"Saribus",0.702416608694313
26,"Fagaceae","Oncosperma tigillarium","Anibong /
Anibong - gubat",371,"Oncosperma",0.605454686498618
27,"Flac tiaceae","Corypha utan","Buri",368,"Corypha",0.608901846878946
28,"Gentianaceae","Arenga pinnata","Kaong",365,"Arenga",0.635527777777778
29,"Guttiferae","Nypa fruticans","Nipa",370,"Nypa",0.608901846878946
30,"Icacinaceae","Caryota cumingii","Pugahan",366,"Caryota",0.64475
31,"Juglandaceae","Pinanga insignis","Sarawag",375,"Pinanga",0.487918282828283
32,"Labiatae","Caryota urens","Takipan",367,"Caryota",0.608901846878946
33,"Lauraceae","Livistona saribus","Tarau",369,"Livistona",0.564417570308376
34,"Lecythidaceae","Avicennia officinalis","Api - api",45,"Avicennia",0.640188716471928
35,"Leeaceae","Spathodea campanulata","African Tulip",298,"Spathodea",0.608901846878946
36,"Leguminosae","Radermachera pinnata","Banai - banai",266,"Radermachera",0.848593137254902
37,"Linaceae","Durio zibethinus","Durian",121,"Durio",0.84775
38,"Lythraceae","Bombax ceiba","Malabulak",49,"Bombax",0.692623015873016
39,"Magnoliaceae","Cordia subcordata","Balu",80,"Cordia",0.441512037037037
40,"Malvaceae","Garuga floribunda","Bogo",151,"Garuga",0.48873153604215
41,"Meliaceae","Canarium hirsutum","Dulit",63,"Canarium",0.594346097689909
42,"Moraceae","Canarium asperum","Pagsahingin - bulog",62,"Canarium",0.566972652968407
43,"Myristicaceae","Canarium ovatum","Pili",65,"Canarium",0.507734054341305
44,"Myrsinaceae","Canarium luzonicum","Piling - liitan",64,"Canarium",0.608901846878946
45,"Myrtaceae","Canna indica","Tikas - pula",66,"Canna",0.765578145976224
46,"Nyctaginaceae","Casuarina equisetifolia","Agoho",69,"Casuarina",0.573625
47,"Olacaceae","Gymnostoma rumphianum","Agoho del Monte",162,"Gymnostoma",0.742428289473684
48,"Oleaceae","Lophopetalum javanum","Abuab",200,"Lophopetalum",0.756826492437604
49,"Pandanaceae","Licania splendens","Amayan",192,"Licania",0.331
50,"Pinaceae","Maranthes corymbosa","Luisin",215,"Maranthes",0.442890793509122
51,"Pittosporaceae","Atuna racemosa","Tabon - tabon",44,"Atuna",0.622875
52,"Poaceae","Terminalia citrina","Binggas",322,"Terminalia",0.608901846878946
53,"Podocarpaceae","Terminalia pellucida","Dalinsi",327,"Terminalia",0.501752023915627
54,"Rhamnaceae","Terminalia microcarpa","Kalumpit",325,"Terminalia",0.742069687257187
55,"Rhizophoraceae","Lumnitzera racemosa","Kulasi",203,"Lumnitzera",0.684399148957104
56,"Rizophoraceae","Terminalia copelandi","Lanipaul",323,"Terminalia",0.608901846878946
57,"Rosaceae","Terminalia calamansanay","Malakalumpit",320,"Terminalia",0.648092857142857
58,"Rubiaceae","Terminalia nitens","Sakat",326,"Terminalia",0.637445334781665
59,"Rutaceae","Lumnitzera littorea","Tabau",202,"Lumnitzera",0.710658456724681
60,"Sapindaceae","Terminalia catappa","Talisay",321,"Terminalia",0.734062972279183
61,"Sapindaceae","Terminalia foetidissima","Talisay - gubat",324,"Terminalia",0.734062972279183
62,"Sapotaceae","Glebionis coronaria","Tungkao",152,"Glebionis",0.714868811809291
63,"Simaroubaceae","Mastixia pentandra subsp philippinensis","Apanit",216,"Mastixia",0.433019603174603
64,"Solanaceae","Octomeles sumatrana","Binuang",232,"Octomeles",0.537788095238095
65,"Sonneratiaceae","Dillenia philippinensis","Katmon",94,"Dillenia",0.608901846878946
66,"Staphyleaceae","Dillenia reifferscheidia","Katmon - kalabaw",95,"Dillenia",0.394
67,"Sterculiaceae","Dillenia luzoniensis","Malakatmon",93,"Dillenia",0.608901846878946
68,"Symplocaceae","Vatica umbonata","  Narig",341,"Vatica",0.533541666666667
69,"Thymelaeaceae","Anisoptera curtisii","Afu",31,"Anisoptera",0.529428571428571
70,"Tiliaceae","Shorea almon","Almon",276,"Shorea",0.608901846878946
71,"Ulmaceae","Dipterocarpus grandiflorus","Apitong",109,"Dipterocarpus",0.662276666666667
72,"Urticaceae","Shorea malaanonan","Bagtikan",285,"Shorea",0.329392846835704
73,"Xanthophyllaceae","Hopea basilanica","Basilan - Yakal",170,"Hopea",0.608901846878946
NA,"","Dipterocarpus eurhynchus","Basilan Apitong",107,"Dipterocarpus",0.608901846878946
NA,"","Dipterocarpus kunstleri","Broad - winged Apitong",113,"Dipterocarpus",0.608901846878946
NA,"","Anisoptera aurea","Dagang",29,"Anisoptera",0.608901846878946
NA,"","Hopea foxworthyi","Dalingdingan",173,"Hopea",0.608901846878946
NA,"","Hopea philippinensis","Gisok - Gisok",176,"Hopea",0.608901846878946
NA,"","Shorea guiso","Guijo",283,"Shorea",0.608901846878946
NA,"","Dipterocarpus validus","Hagakhak",115,"Dipterocarpus",0.608901846878946
NA,"","Dipterocarpus alatus","Hairy - eafed Apitong",105,"Dipterocarpus",0.608901846878946
NA,"","Dipterocarpus hasseltii","Hasselt Panau",110,"Dipterocarpus",0.608901846878946
NA,"","Dipterocarpus sutalpinus","Highland Panau",111,"Dipterocarpus",0.608901846878946
NA,"","Shorea hopeifolia","Kalunti",284,"Shorea",0.608901846878946
NA,"","Dipterocarpus caudatus","Leaf - Tailed Panau",106,"Dipterocarpus",0.608901846878946
NA,"","Shorea polita","Malaanonan",291,"Shorea",0.608901846878946
NA,"","Shorea plagata","Malaguijo",290,"Shorea",0.608901846878946
NA,"","Dipterocarpus kerrii","Malapanau",112,"Dipterocarpus",0.608901846878946
NA,"","Shorea seminis","Malayakal",293,"Shorea",0.608901846878946
NA,"","Hopea acuminata","Manggachapui",169,"Hopea",0.608901846878946
NA,"","Shorea assamica var philippinensis","Manggasinoro",277,"Shorea",0.608901846878946
NA,"","Shorea palosapis","Mayapis",289,"Shorea",0.608901846878946
NA,"","Hopea brachyptera","Mindanao Narek",171,"Hopea",0.608901846878946
NA,"","Vatica odorata","Mindanao Narig",338,"Vatica",0.608901846878946
NA,"","Anisoptera costata","Mindanao Palosapis",30,"Anisoptera",0.608901846878946
NA,"","Hopea cagayanensis","Narek",172,"Hopea",0.608901846878946
NA,"","Vatica mangachapoi","Narig",337,"Vatica",0.608901846878946
NA,"","Anisoptera thurifera","Palosapis",32,"Anisoptera",0.608901846878946
NA,"","Dipterocarpus gracilis","Panau",108,"Dipterocarpus",0.608901846878946
NA,"","Shorea negrosensis","Red auan",287,"Shorea",0.608901846878946
NA,"","Dipterocarpus orbicularis","Round - eafed Apitong",114,"Dipterocarpus",0.608901846878946
NA,"","Shorea polysperma","Tangile",292,"Shorea",0.608901846878946
NA,"","Vatica rassak","Tawi - tawi Narig",340,"Vatica",0.608901846878946
NA,"","Vatica pachyphylla","Thick - leafed Narig",339,"Vatica",0.608901846878946
NA,"","Shorea ovata","Tiaong",288,"Shorea",0.608901846878946
NA,"","Shorea contorta","White auan",280,"Shorea",0.608901846878946
NA,"","Vatica whitfordii","Whitford Narig",342,"Vatica",0.608901846878946
NA,"","Shorea astylosa","Yakal",278,"Shorea",0.608901846878946
NA,"","Shorea gisok","Yakal - Gisok",282,"Shorea",0.608901846878946
NA,"","Hopea malibato","Yakal - Kaliot",174,"Hopea",0.608901846878946
NA,"","Shorea ciliata","Yakal - Mabolo",279,"Shorea",0.608901846878946
NA,"","Hopea mindanensis","Yakal - Magasusu",175,"Hopea",0.608901846878946
NA,"","Shorea malibato","Yakal - Malibato",286,"Shorea",0.608901846878946
NA,"","Hopea plagata","Yakal - Saplungan",177,"Hopea",0.608901846878946
NA,"","Shorea falciferoides","Yakal - Yamban",281,"Shorea",0.608901846878946
NA,"","Diospyros pyrrhocarpa","Anang",102,"Diospyros",0.608901846878946
NA,"","Diospyros mindanaensis","Ata - ata",100,"Diospyros",0.608901846878946
NA,"","Diospyros pilosanthera","Bolong - eta",101,"Diospyros",0.608901846878946
NA,"","Diospyros vera","Ebony",103,"Diospyros",0.608901846878946
NA,"","Diospyros discolor","Kamagong",99,"Diospyros",0.608901846878946
NA,"","Melanolepis multiglandulosa","Alim",217,"Melanolepis",0.608901846878946
NA,"","Flueggea flexuosa","Anislag",145,"Flueggea",0.608901846878946
NA,"","Mallotus cumingii","Apauang",210,"Mallotus",0.608901846878946
NA,"","Glochidion triandrum","Bagna",155,"Glochidion",0.608901846878946
NA,"","Reutealis trisperma","Baguilumbang",267,"Reutealis",0.608901846878946
NA,"","Balakata luzonica","Balakat - gubat",47,"Balakata",0.608901846878946
NA,"","Homalanthus populneus","Balanti",167,"Homalanthus",0.608901846878946
NA,"","Drypetes longifolia","Balikbikan",118,"Drypetes",0.608901846878946
NA,"","Mallotus philippensis","Banato",211,"Mallotus",0.608901846878946
NA,"","Macaranga caudatifolia","Daha",206,"Macaranga",0.608901846878946
NA,"","Endospermum peltatum","Gubas",125,"Endospermum",0.608901846878946
NA,"","Macaranga bicolor","Hamindang",205,"Macaranga",0.608901846878946
NA,"","Trigonostemon longipes","Katap",332,"Trigonostemon",0.608901846878946
NA,"","Dimorphocalyx luzoniensis","Kulispakatan",98,"Dimorphocalyx",0.608901846878946
NA,"","Aleurites moluccana","Lumbang",21,"Aleurites",0.608901846878946
NA,"","Hancea penangensis","Malamala",163,"Hancea",0.608901846878946
NA,"","Breynia vitisidaea","Matang - hipon",51,"Breynia",0.608901846878946
NA,"","Hevea brasiliensis","Para Rubber",166,"Hevea",0.608901846878946
NA,"","Macaranga grandifolia","Takip - asin",207,"Macaranga",0.608901846878946
NA,"","Drypetes maquilingensis","Tinaang - pantai",119,"Drypetes",0.608901846878946
NA,"","Bischofia javanica","Tuai",48,"Bischofia",0.608901846878946
NA,"","Adenanthera intermedia","Tanglin",1,"Adenanthera",0.608901846878946
NA,"","Afzelia rhomboidea","Tindalo",2,"Afzelia",0.608901846878946
NA,"","Lithocarpus ovalis","Manggasiriki",195,"Lithocarpus",0.608901846878946
NA,"","Lithocarpus caudatifolius","Ulayan Oak",194,"Lithocarpus",0.608901846878946
NA,"","Homalium foetidum","Arangga",168,"Homalium",0.608901846878946
NA,"","Hydnocarpus heterophylla","Balik",179,"Hydnocarpus",0.608901846878946
NA,"","Trichadenia philippinensis","Malapinggan",331,"Trichadenia",0.608901846878946
NA,"","Pangium edule","Pangil",238,"Pangium",0.608901846878946
NA,"","Fagraea racemosa","Balat - buaya",132,"Fagraea",0.608901846878946
NA,"","Fagraea fragrans","Urung",131,"Fagraea",0.608901846878946
NA,"","Calophyllum blancoi","Bitanghol",57,"Calophyllum",0.608901846878946
NA,"","Calophyllum inophyllum","Bitaog - Palomaria",58,"Calophyllum",0.608901846878946
NA,"","Garcinia venulosa","Gatasan",150,"Garcinia",0.608901846878946
NA,"","Garcinia ituman","Haras / Ituman",148,"Garcinia",0.608901846878946
NA,"","Garcinia rubra","Kamandiis",149,"Garcinia",0.608901846878946
NA,"","Calophyllum pentapetalum var cumingii","Malabitaog",59,"Calophyllum",0.608901846878946
NA,"","Cratoxylum sumatranum","Paguringon",82,"Cratoxylum",0.608901846878946
NA,"","Calophyllum whitfordii","Pamitaogen",60,"Calophyllum",0.608901846878946
NA,"","Cratoxylum formosum","Salinggogon",81,"Cratoxylum",0.608901846878946
NA,"","Garcinia dulcis","Taklang - anak",147,"Garcinia",0.608901846878946
NA,"","Gomphandra luzoniensis","Mabunot",157,"Gomphandra",0.608901846878946
NA,"","Gonocaryum calleryanum","Taingang - baboi",158,"Gonocaryum",0.608901846878946
NA,"","Engelhardtia rigida","Buntan",126,"Engelhardia",0.608901846878946
NA,"","Teijsmanniodendron ahernianum","Dangula Sasalit",319,"Teijsmanniodendron",0.608901846878946
NA,"","Vitex turczaninowii","Lingo - lingo",344,"Vitex",0.608901846878946
NA,"","Premna cumingiana","Maguilik",258,"Premna",0.608901846878946
NA,"","Vitex parviflora","Molave",343,"Vitex",0.608901846878946
NA,"","Tectona grandis","Teak",318,"Tectona",0.608901846878946
NA,"","Gmelina arborea","Yemane",156,"Gmelina",0.608901846878946
NA,"","Cryptocarya ampla","Bagarilao",83,"Cryptocarya",0.608901846878946
NA,"","Litsea philippinensis","Bakan",199,"Litsea",0.608901846878946
NA,"","Cryptocarya edanoii","Balangua",84,"Cryptocarya",0.608901846878946
NA,"","Litsea leytensis","Batikuling",197,"Litsea",0.608901846878946
NA,"","Alseodaphne philippinensis","Boga",25,"Alseodaphne",0.608901846878946
NA,"","Phoebe sterculioides","Kaburo",244,"Phoebe",0.608901846878946
NA,"","Cinnamomum mercadoi","Kalingag / Cinamomon",77,"Cinnamomum",0.608901846878946
NA,"","Cinnamomum philippinense","Kulilisiau",78,"Cinnamomum",0.608901846878946
NA,"","Alseodaphne malabonga","Malabunga",24,"Alseodaphne",0.608901846878946
